Channel,Accuracy (AC),Sensitivity (SN),Specificity (SP),F1-score (F1),Correct Classification Rate (CCR),Matthew’s Correlation Coefficient (MCC)
hERG,0.8351892828941345,0.8617886304855347,0.802955687046051,0.8514056205749512,0.8323721885681152,0.6667097806930542
NaV1.5,0.8943662047386169,0.9587628841400146,0.7555555701255798,0.9253731369972229,0.8571592569351196,0.7507157325744629
CaV1.2,0.9135802388191223,0.9615384340286255,0.8275862336158752,0.9345794916152954,0.8945623636245728,0.8103605508804321
